Job Title,Company Name,Recruiter Name,Location,Job Description,Keyword,URL
Python Developer | Remote,N/A,Sankalp Chhabra,N/A,"About the job Position: Python Developer Type: Hourly contract Location: Remote Commitment: 10–40 hours/week Role Responsibilities Design, develop, and maintain scalable Python applications. Collaborate with cross-functional teams to implement new features and enhancements. Review code to ensure quality, performance, and adherence to best practices. Troubleshoot, debug, and optimize applications for reliability and scalability. Create and maintain clear technical documentation and workflows. Contribute to system architecture discussions and propose technical solutions. Communicate progress, challenges, and updates effectively with team members. Requirements Strong experience in Python development and building scalable systems. Solid understanding of software development principles and design patterns. Proficiency with version control systems such as Git. Strong problem-solving and analytical thinking abilities. Ability to work independently in a remote, distributed environment. Excelle",web development,https://www.linkedin.com/jobs/view/4395404523/
Front-End Web Developer (React + Azure),N/A,N/A,N/A,"About the job Front-End Web Developer (React + Azure) Location: Hybrid (Lahore, Karachi, Islamabad) Experience: 8+ Years Employment Type: Full-Time About the Role We are seeking a highly skilled Front-End Web Developer with strong expertise in React.js and experience working with Azure-based applications. This role involves building scalable, high-performance web applications and integrating them with cloud services, AI APIs, and secure identity systems. You will collaborate with cross-functional teams to deliver modern, user-centric digital solutions. Key Responsibilities Develop and maintain high-performance, scalable front-end applications using React.js Integrate frontend applications with Azure-hosted services, including AI APIs Implement authentication and authorization using Azure AD / Azure AD B2C Consume and manage RESTful APIs, handling both real-time and batch data processing Collaborate with backend teams working on .NET Core APIs Optimize applications for performance, scal",web development,https://www.linkedin.com/jobs/view/4398802471/
Digital Marketer,N/A,N/A,N/A,"About the job We are seeking a skilled Digital Marketer with expertise in e-commerce to join our team. The ideal candidate will have hands-on experience in managing online marketplaces, optimizing product listings, and running paid advertising campaigns. Responsibilities: ~Manage and optimize Amazon and Walmart product listings to enhance visibility and sales. ~Oversee Shopify store management, ensuring seamless operations and conversion optimization. ~Plan, execute, and analyze paid advertising campaigns across platforms such as Google Ads, Facebook Ads, and Amazon PPC. ~Implement SEO best practices to improve organic rankings and traffic. ~Utilize tools like Google Analytics, Amazon Seller Central, and Facebook ~Business Manager to track performance and derive insights. ~Collaborate with cross-functional teams to enhance marketing strategies and drive business growth. Requirements: ~Proven experience in Amazon & Walmart product listing and optimization. ~Strong knowledge of Shopify s",web development,https://www.linkedin.com/jobs/view/4398370544/
Frontend Engineer - ReactJs,N/A,N/A,N/A,"About the job Confiz is looking for Software Engineer- React JS . Apply only if you consider yourself to be the very best and are looking for challenges and rewards that no other company will provide. Responsibilities Responsible for the development and maintenance of web applications Primary focus will be development of web applications and their integration with back-end services Will be working alongside other engineers and developers working on different layers of the infrastructure Commitment to collaborative problem solving, sophisticated design, and the creation of quality products is essential Translate designs, wireframes, and mockups into highly composable code Ensure the performance, quality, and responsiveness of applications Collaborate with a team to define, design, and ship new features Identify and correct bottlenecks and fix bugs Help maintain code quality, organization, and automation Requirements 7+ years of experience with React, NextJS and related ecosystems (Web p",web development,https://www.linkedin.com/jobs/view/4395980401/
Front-End / Full-Stack Developer,N/A,N/A,N/A,"About the job Securiti has been widely recognized as an industry innovator, being named “Most Innovative Start-up” at RSA Conference 2020, Leader in the IDC Marketplace, Leader in the Forrester Wave Privacy Management Software, and winner of the 2020 HPE-IAPP Innovation Award. The company is being built by proven serial entrepreneurs and executives who have successfully built and scaled high-growth global companies before. We have multiple frontend development roles open and if you aspire to work on cutting-edge technologies and frameworks, side by side with some of the smartest technologists, this may be a unique place for you. You will be working as a part of a distributed agile team, building a new SaaS platform that underpins a suite of enterprise applications solving a variety of hard data analytics and enterprise problems. Responsibilities Develop responsive front end applications using Vue JavaScript framework, HTML, CSS Integrate with APIs by defining the contract and also buil",web development,https://www.linkedin.com/jobs/view/4335312279/
Virtual Medical Scribe,N/A,Raza Qazi,N/A,"About the job At Health & Virtuals, we build structured, reliable support systems for healthcare practices across the United States—placing trained remote professionals into real operational workflows that keep practices running smoothly and predictably. We are currently hiring a Virtual Scribe—a real-time documentation support role responsible for capturing patient encounters, maintaining accurate clinical records, and enabling providers to focus fully on patient care. Role Overview The Virtual Scribe works alongside healthcare providers to ensure that clinical documentation is accurate, complete, and structured in real time. This role sits at the intersection of listening, documentation, and execution—translating live or recorded patient interactions into structured medical records within the EHR. You will document encounters, format clinical notes, and support provider workflows by ensuring that all relevant information is properly captured, organized, and ready for review. What You",web development,https://www.linkedin.com/jobs/view/4393018910/
Software Engineer (Remote),N/A,N/A,N/A,"About the job Job Title: Software Engineer (Remote) Work Mode: Fully Remote Location: Remote (Philippines, Pakistan, UAE, Nigeria, Bangladesh, Indonesia, Egypt, South Africa, Turkey, Vietnam, Malaysia, Kenya, Thailand, Ukraine, Serbia, Japan, South Korea, Israel, Norway, Switzerland) Role Overview Explore building agents using OpenClaw across multiple AI models and design rubrics to evaluate their outcomes - spanning health, education, daily life, et. (all coding work) Shape the future of autonomous AI agents by providing expert human feedback to leading AI organisations. Train Large Language Models (LLMs) for complex, multi-step architectural workflows. Flexible remote work with no minimum hours and weekly payments. Key Responsibilities AI Agent Testing Write evaluation rubrics with objective pass/fail criteria Debug agent traces to identify failure patterns Stress test agents in multi-step, real-world scenarios Technical Evaluation Assess production-grade modular software architectur",web development,https://www.linkedin.com/jobs/view/4400977603/
iOS Developer | Remote,N/A,Sankalp Chhabra,N/A,"About the job Position: iOS Developer Type: Hourly contract Compensation Location: Remote Commitment: 10–40 hours/week Role Responsibilities Design, develop, and maintain high-performance iOS applications. Collaborate with product managers, designers, and engineers to deliver new features. Write clean, scalable, and well-documented code for maintainability. Troubleshoot and resolve technical issues to ensure optimal performance. Participate in code reviews and uphold high coding standards. Stay updated with the latest iOS technologies and frameworks. Communicate technical concepts and project updates effectively. Requirements Strong experience in iOS development using Swift and Objective-C. Strong understanding of mobile app architecture patterns such as MVC and MVVM. Strong experience working with RESTful APIs, third-party libraries, and Apple frameworks. Experience writing unit and UI tests for application reliability. Strong problem-solving skills with attention to detail. Excellent",app development,https://www.linkedin.com/jobs/view/4394774476/
Brand Manager Core (Proactive Pipeline),N/A,N/A,N/A,"About the job Grade Level: 3 Location: Islamabad Last date to apply: 14th April 2026 What is ‘Brand Manager'? As a Brand Manager you will lead brand strategy and marketing execution through consumer insights, strong positioning, and consistent identity across all channels. The responsibilities for this role include overseeing creative, digital, and product-aligned initiatives while using analytics to optimize performance and ROI. You will manage teams, partners, and budgets to deliver impactful campaigns that drive growth and brand relevance with 1-2 direct reports and an extended team of 14 members. What does ‘Brand Manager' do? · Analyze brand positioning and consumer insights. · Shape and communicate our vision and mission. · Lead the development and execution of Brand Strategy based on the Business Objectives & Strategy · Work as a part of the product team to develop the right brand initiatives and communications. · Develop and implement brand strategies and marketing campaigns. · ",app development,https://www.linkedin.com/jobs/view/4398354434/
Mobile Front-end Developer (Flutter/React Native),N/A,N/A,N/A,"About the job URGENT HIRING Employment Details: Work Hours: 10:00 AM – 6:00 PM AEST Engagement Type: Full Time Employment Type: Remote (Permanent) Experience Required: 7-10 Years About the Role We are looking for a Mobile Front-End Developer with strong experience in Flutter and/or React Native (Expo) to work with one of our Australian clients. The ideal candidate will be highly focused on building scalable, high-performance mobile applications, with a strong understanding of modern UI/UX principles. Please note, the candidate requires to own a MacBook as their work equipment to operate. Key Responsibilities Develop and maintain mobile applications using Flutter + Flutter Web and/or React Native with Expo Implement robust and scalable state management using Bloc (mandatory for Flutter) Collaborate closely with backend developers, designers, and product teams Optimize applications for performance, scalability, and responsiveness Integrate REST APIs and work with GraphQL APIs where requi",app development,https://www.linkedin.com/jobs/view/4391528818/
Senior iOS Software Engineer,N/A,亚洲 Asia A.,N/A,"About the job Senior iOS Software Engineer Location: Remote: Asia-Pacific Job type: Full-time; Contract About MEGA MEGA, The Privacy Company provides global services from its Head Office in Csomad, Hungary. Built with Privacy by Design, MEGA provides a range of zero-knowledge encrypted cloud storage and communication solutions for individuals and businesses. We launched in 2013 and have grown to an international team of about 150 people who are motivated by next-generation technology and design, supporting over 340 million registered users on our desktop and mobile apps across all major platforms. About this role As a Senior iOS Engineer at MEGA, you will design, develop, and maintain our iOS application through robust, testable, and scalable code. Part of a global team of engineers, you will partner with, and report to, the iOS Team Lead to contribute to code reviews, engineering guidelines, and the mentoring of your junior-level colleagues. Given our commitment to zero-knowledge encr",app development,https://www.linkedin.com/jobs/view/4388282603/
"AI Powered Mobile App Developer, (Remote, Full-Time) PK [AS198]",N/A,N/A,N/A,"About the job About Smart Working At Smart Working, we believe your job should not only look right on paper but also feel right every day. This isn’t just another remote opportunity - it’s about finding where you truly belong, no matter where you are. From day one, you’re welcomed into a genuine community that values your growth and well-being. Our mission is simple: to break down geographic barriers and connect skilled professionals with outstanding global teams and products for full-time, long-term roles. We help you discover meaningful work with teams that invest in your success, where you’re empowered to grow personally and professionally. Join one of the highest-rated workplaces on Glassdoor and experience what it means to thrive in a truly remote-first world. About the role As an AI Powered Mobile App Developer (IOS/Android), you will take ownership of the technical direction and delivery of a mobile app and supporting platform at a pivotal early stage of the business. This is a ",app development,https://www.linkedin.com/jobs/view/4378181443/
Amazon Brand Manager,N/A,N/A,N/A,"About the job This is a full time, remote and permanent role as per the US Central timezone Umbrella Fund is excited to announce an opening for an Amazon Brand Manager. In this dynamic role, you will be responsible for managing and optimizing the performance of our clients' brands on the Amazon platform. As an Amazon Brand Manager, you will work closely with both internal teams and clients to create and implement strategies that drive sales and enhance brand visibility. Your primary responsibilities will include analyzing market trends, optimizing product listings, executing marketing campaigns, and monitoring key performance metrics to ensure the success of our clients’ brands on Amazon. Key Responsibilities: Manage and optimize the performance of clients' brands on Amazon Develop and implement sales strategies to increase brand visibility and market share Collaborate with clients to understand their brand vision and objectives Work with internal teams to design and execute marketing ",app development,https://www.linkedin.com/jobs/view/4390662606/
Senior Manager Payments & Integration Services.Technology PMO -MBP.Technology Group TECH-MBPKLTD,N/A,N/A,N/A,"About the job Responsible for managing the critical applications of the bank payments processing platform. Works effectively with the business stakeholders, internal teams and vendor in ensuring the product road map and the payment platforms and process improvements. Ensure payments products delivery and support strategy are aligned with the management objectives and goals. Ensures strategic vendor partnership and aligning products / industry road maps of the Payment platforms with business strategy. Responsible for guiding and mentoring the team locally and ensuring high quality of delivery and cross functional expertise with the team",app development,https://www.linkedin.com/jobs/view/4353003896/
Software Development Engineer (Remote),N/A,N/A,N/A,"About the job Job Title: Software Development Engineer (Remote) Work Mode: Fully Remote Location: Remote (Philippines, Pakistan, UAE, Nigeria, Bangladesh, Indonesia, Egypt, South Africa, Turkey, Vietnam, Malaysia, Kenya, Thailand, Ukraine, Serbia, Japan, South Korea, Israel, Norway, Switzerland) Role Overview Explore building agents using OpenClaw across multiple AI models and design rubrics to evaluate their outcomes - spanning health, education, daily life, et. (all coding work) Shape the future of autonomous AI agents by providing expert human feedback to leading AI organisations. Train Large Language Models (LLMs) for complex, multi-step architectural workflows. Flexible remote work with no minimum hours and weekly payments. Key Responsibilities AI Agent Testing Write evaluation rubrics with objective pass/fail criteria Debug agent traces to identify failure patterns Stress test agents in multi-step, real-world scenarios Technical Evaluation Assess production-grade modular software",app development,https://www.linkedin.com/jobs/view/4400988537/
Manager Employer Branding and Leadership Development,N/A,Affifa Bari,N/A,"About the job About easypaisa digital bank: easypaisa is Pakistan’s first digital bank and has advanced Pakistan’s digital finance landscape. Backed by our shareholders, Telenor Group-a leading telecom operator in Asia and the Nordics- and Ant Group-the force behind Alipay, the world’s leading open internet platform, easypaisa deliver secure, convenient financial solutions to millions of Pakistanis. Position Summary: This role is responsible for designing and driving easypaisa’s employer branding and leadership development in line with the company’s growth as a leading fintech. The role will focus on building a strong employer value proposition, developing leadership capability across levels through structure, culture, and capability interventions.The role requires end to end responsibility for initiatives while ensuring alignment with the overall People & Organization strategy. Primary duties and responsibilities: Employer Branding & Talent Positioning Develop and implement the employ",app development,https://www.linkedin.com/jobs/view/4396446934/
Remote Outreach Specialist,N/A,N/A,N/A,"About the job We get a lot of applications, to make sure your application is seen, fill this 3-minute Jotform Application (copy/paste into browser): https://form.jotform.com/253174078735160 Company: Ascenturi Location: Remote Schedule: U.S. Business Hours Type: Full-Time Summary: Execute outreach campaigns and connect with potential clients. Responsibilities: Perform outbound communication Engage leads effectively Book appointments Track outreach performance Qualifications: Strong communication skills Organized and proactive What We Offer: Remote work Growth opportunities",app development,https://www.linkedin.com/jobs/view/4396349550/
Junior Software Engineer (TypeScript) | $42/hr Remote,N/A,N/A,N/A,"About the job Position: Junior Software Engineer — AI Quality & Testing Type: Contract Compensation: $30 – $42/hour Location: Remote Commitment: 10-40 hours/week Role Responsibilities Test and evaluate AI-driven web and mobile products, analyzing performance and robustness from an engineering perspective. Write clear and comprehensive test cases while documenting findings to ensure issues are tracked and communicated effectively. Contribute TypeScript code to support feature development, prototypes, and quality improvement initiatives. Identify, reproduce, and report bugs while collaborating with product and engineering teams to resolve issues. Analyze user feedback from social platforms to gather product insights and highlight critical issues. Collaborate with cross-functional teams across product, engineering, and operations to support product quality goals. Continuously explore edge cases with a detail-oriented mindset to discover potential product weaknesses and improvements. Requi",app development,https://www.linkedin.com/jobs/view/4384251472/
Business Development Coordinator (Remote),N/A,N/A,N/A,"About the job We are looking for a high-level, proactive, and results-driven professional who can help improve processes, solve problems, and support business growth. This is NOT a basic admin or assistant role. You will be expected to think, take ownership, identify issues, and push tasks to completion without being told every step. Role Overview You will work directly with leadership to monitor workflows, manage vendor relationships, and identify opportunities to improve efficiency and performance across the business. Your role is to ensure nothing falls through the cracks and that problems are identified, addressed, and resolved quickly. Key Responsibilities Track ongoing tasks, projects, and priorities. Identify inefficiencies, issues, or gaps and propose solutions. Communicate with vendors, partners, and service providers. Follow up consistently on all open items until completion. Assist in improving systems, workflows, and processes. Review reports, invoices, and data to identify",app development,https://www.linkedin.com/jobs/view/4400926991/
"AI Powered Mobile App Developer, (Remote, Full-Time) PK [AS198]",N/A,N/A,N/A,"About the job About Smart Working At Smart Working, we believe your job should not only look right on paper but also feel right every day. This isn’t just another remote opportunity - it’s about finding where you truly belong, no matter where you are. From day one, you’re welcomed into a genuine community that values your growth and well-being. Our mission is simple: to break down geographic barriers and connect skilled professionals with outstanding global teams and products for full-time, long-term roles. We help you discover meaningful work with teams that invest in your success, where you’re empowered to grow personally and professionally. Join one of the highest-rated workplaces on Glassdoor and experience what it means to thrive in a truly remote-first world. About the role As an AI Powered Mobile App Developer (IOS/Android), you will take ownership of the technical direction and delivery of a mobile app and supporting platform at a pivotal early stage of the business. This is a ",app development,https://www.linkedin.com/jobs/view/4378163786/
Assistant Manager Business Innovation,N/A,Sidrah Umar,N/A,"About the job Job Purpose: To lead innovation initiatives by identifying, evaluating, and implementing innovative business ideas and related technologies, and process improvements to enhance organizational efficiency, improve customer experience, drive revenue growth, and enable timely, data-driven decision-making for sustainable growth. Job Responsibilities: Strong understanding of business dynamics, and business operations. Conduct feasibility studies and impact analyses of proposed ideas to ensure alignment with the CMCC/CMPak strategic roadmap. Proactive market insight and industry awareness to actively contribute to business growth and product development initiatives. Identify and evaluate innovate business ideas/projects, emerging technologies, and relevant market trends. Act as a bridge between various business units to foster as a structured innovation culture transforming raw ideas into formalized projects. End-to-End manage Business Innovation ideas/projects in line with defi",app development,https://www.linkedin.com/jobs/view/4398827012/
"Software Engineer, Product & Growth",N/A,N/A,N/A,"About the job 100% remote. No direct experience necessary. We hire based on aptitude not experience. Consider applying if you think you have skills and aptitude but are still early in your career. Why this is the best job on the planet for an engineer who is also interested in product and growth: Great starting salary. You will work on real products with real customers, and you’ll see your code and product decisions directly impact user experience, retention, and revenue. You’ll help take a project from “we just acquired this app/business” to “this is a well-run, growing, customer-loved product” – and you’ll be the engineer making that transformation happen. You will have an opportunity for quick salary increases and to get equity in the business. This is an environment where you will be stretched and learn faster than pretty much any other role because it’s very hands-on and practical with the ability to take on responsibilities fast. What You’ll Work On Building, improving, and maint",app development,https://www.linkedin.com/jobs/view/4399866240/
